phone,address,cuisines,raw_ldjson,url,rating,name,cost_for_two
,,,"{'@context': 'http://schema.org', '@type': 'WebSite', 'name': 'Zomato', 'url': 'https://www.zomato.com'}",https://www.zomato.com/pune/restaurants/burger,4.5,Zomato,
,,,"{'@context': 'http://schema.org', '@type': 'WebSite', 'name': 'Zomato', 'url': 'https://www.zomato.com'}",https://www.zomato.com/pune/restaurants/in/radisson-blu-hotel-nagar-road,4.0,Zomato,
,,,"{'@context': 'http://schema.org', '@type': 'WebSite', 'name': 'Zomato', 'url': 'https://www.zomato.com'}",https://www.zomato.com/pune/restaurants/in/creaticity-mall-yerawada,4.4,Zomato,
,,,"{'@context': 'http://schema.org', '@type': 'WebSite', 'name': 'Zomato', 'url': 'https://www.zomato.com'}",https://www.zomato.com/pune/beverage-shop,4.5,Zomato,
,,,"{'@context': 'http://schema.org', '@type': 'WebSite', 'name': 'Zomato', 'url': 'https://www.zomato.com'}",https://www.zomato.com/pune/restaurants/in/the-central-park-hotel-bund-garden-road,,Zomato,
,,,"{'@context': 'http://schema.org', '@type': 'WebSite', 'name': 'Zomato', 'url': 'https://www.zomato.com'}",https://www.zomato.com/pune/restaurants/in/sun-n-sand-hotel-bund-garden-road,,Zomato,
,,,"{'@context': 'http://schema.org', '@type': 'WebSite', 'name': 'Zomato', 'url': 'https://www.zomato.com'}",https://www.zomato.com/pune/sweet-shop,4.5,Zomato,
,,,"{'@context': 'http://schema.org', '@type': 'WebSite', 'name': 'Zomato', 'url': 'https://www.zomato.com'}",https://www.zomato.com/pune/restaurants/in/the-o-hotel,4.0,Zomato,
,,,"{'@context': 'http://schema.org', '@type': 'WebSite', 'name': 'Zomato', 'url': 'https://www.zomato.com'}",https://www.zomato.com/pune/restaurants/shake,4.5,Zomato,
,,,"{'@context': 'http://schema.org', '@type': 'WebSite', 'name': 'Zomato', 'url': 'https://www.zomato.com'}",https://www.zomato.com/pune/restaurants/in/hyatt-pune-nagar-road,,Zomato,
,,,"{'@context': 'http://schema.org', '@type': 'WebSite', 'name': 'Zomato', 'url': 'https://www.zomato.com'}",https://www.zomato.com/pune/restaurants/in/hotel-tamanna-executive-hinjewadi,3.2,Zomato,
,,,"{'@context': 'http://schema.org', '@type': 'WebSite', 'name': 'Zomato', 'url': 'https://www.zomato.com'}",https://www.zomato.com/pune/restaurants/in/hotel-royal-orchid-kalyani-nagar,3.6,Zomato,
,,,"{'@context': 'http://schema.org', '@type': 'WebSite', 'name': 'Zomato', 'url': 'https://www.zomato.com'}",https://www.zomato.com/pune/restaurants/in/lemon-tree-hotel-hinjawadi,4.0,Zomato,
,,,"{'@context': 'http://schema.org', '@type': 'WebSite', 'name': 'Zomato', 'url': 'https://www.zomato.com'}",https://www.zomato.com/pune/restaurants/in/hotel-hindustan-international-viman-nagar,3.8,Zomato,
,,,"{'@context': 'http://schema.org', '@type': 'WebSite', 'name': 'Zomato', 'url': 'https://www.zomato.com'}",https://www.zomato.com/pune/restaurants/in/corinthians-kondhwa,4.0,Zomato,
,,,"{'@context': 'http://schema.org', '@type': 'WebSite', 'name': 'Zomato', 'url': 'https://www.zomato.com'}",https://www.zomato.com/pune/restaurants/biryani,4.5,Zomato,
,,,"{'@context': 'http://schema.org', '@type': 'WebSite', 'name': 'Zomato', 'url': 'https://www.zomato.com'}",https://www.zomato.com/pune/dessert-parlour,4.5,Zomato,
,,,"{'@context': 'http://schema.org', '@type': 'WebSite', 'name': 'Zomato', 'url': 'https://www.zomato.com'}",https://www.zomato.com/pune/restaurants/in/marriott-hotel-senapati-bapat-road,4.5,Zomato,
,,,"{'@context': 'http://schema.org', '@type': 'WebSite', 'name': 'Zomato', 'url': 'https://www.zomato.com'}",https://www.zomato.com/pune/restaurants/in/the-pride-hotel-shivaji-nagar,3.9,Zomato,
,,,"{'@context': 'http://schema.org', '@type': 'WebSite', 'name': 'Zomato', 'url': 'https://www.zomato.com'}",https://www.zomato.com/pune/restaurants/sandwich,4.5,Zomato,
,,,"{'@context': 'http://schema.org', '@type': 'WebSite', 'name': 'Zomato', 'url': 'https://www.zomato.com'}",https://www.zomato.com/pune/restaurants/in/bizz-bay-mall-nibm-road,3.3,Zomato,
,,,"{'@context': 'http://schema.org', '@type': 'WebSite', 'name': 'Zomato', 'url': 'https://www.zomato.com'}",https://www.zomato.com/pune/restaurants/maharashtrian,4.5,Zomato,
,,,"{'@context': 'http://schema.org', '@type': 'WebSite', 'name': 'Zomato', 'url': 'https://www.zomato.com'}",https://www.zomato.com/pune/collection/romantic-restaurants,4.4,Zomato,
,,,"{'@context': 'http://schema.org', '@type': 'WebSite', 'name': 'Zomato', 'url': 'https://www.zomato.com'}",https://www.zomato.com/pune/food-court,4.5,Zomato,
,,,"{'@context': 'http://schema.org', '@type': 'WebSite', 'name': 'Zomato', 'url': 'https://www.zomato.com'}",https://www.zomato.com/pune/rio-kitchen-bar-1-hinjawadi,4.0,Zomato,
,,,"{'@context': 'http://schema.org', '@type': 'WebSite', 'name': 'Zomato', 'url': 'https://www.zomato.com'}",https://www.zomato.com/pune/fine-dining,4.5,Zomato,
,,,"{'@context': 'http://schema.org', '@type': 'WebSite', 'name': 'Zomato', 'url': 'https://www.zomato.com'}",https://www.zomato.com/pune/restaurants/in/le-meridien,,Zomato,
,,,"{'@context': 'http://schema.org', '@type': 'WebSite', 'name': 'Zomato', 'url': 'https://www.zomato.com'}",https://www.zomato.com/pune/restaurants/in/hotel-sagar-plaza-bund-garden-road,,Zomato,
,,,"{'@context': 'http://schema.org', '@type': 'WebSite', 'name': 'Zomato', 'url': 'https://www.zomato.com'}",https://www.zomato.com/pune/bhojanalya,4.5,Zomato,
,,,"{'@context': 'http://schema.org', '@type': 'WebSite', 'name': 'Zomato', 'url': 'https://www.zomato.com'}",https://www.zomato.com/pune/restaurants/desserts,4.5,Zomato,
,,,"{'@context': 'http://schema.org', '@type': 'WebSite', 'name': 'Zomato', 'url': 'https://www.zomato.com'}",https://www.zomato.com/pune/restaurants/in/della-adventure-resort,4.3,Zomato,
,,,"{'@context': 'http://schema.org', '@type': 'WebSite', 'name': 'Zomato', 'url': 'https://www.zomato.com'}",https://www.zomato.com/pune/restaurants/in/citrus-hotel-pimpri,,Zomato,
,,,"{'@context': 'http://schema.org', '@type': 'WebSite', 'name': 'Zomato', 'url': 'https://www.zomato.com'}",https://www.zomato.com/pune/restaurants/in/sayaji-hotel-wakad,4.5,Zomato,
,,,"{'@context': 'http://schema.org', '@type': 'WebSite', 'name': 'Zomato', 'url': 'https://www.zomato.com'}",https://www.zomato.com/pune/restaurants/in/the-coronet-hotel,4.3,Zomato,
,,,"{'@context': 'http://schema.org', '@type': 'WebSite', 'name': 'Zomato', 'url': 'https://www.zomato.com'}",https://www.zomato.com/pune/restaurants/in/the-ramee-grand-hotel,4.3,Zomato,
,,,"{'@context': 'http://schema.org', '@type': 'WebSite', 'name': 'Zomato', 'url': 'https://www.zomato.com'}",https://www.zomato.com/pune/restaurants/in/koregaon-park-plaza-mall-koregaon-park,,Zomato,
,,,"{'@context': 'http://schema.org', '@type': 'WebSite', 'name': 'Zomato', 'url': 'https://www.zomato.com'}",https://www.zomato.com/pune/quick-bites,4.5,Zomato,
,,,"{'@context': 'http://schema.org', '@type': 'WebSite', 'name': 'Zomato', 'url': 'https://www.zomato.com'}",https://www.zomato.com/pune/restaurants/in/mapple-adhwryou-wagholi,,Zomato,
,,,"{'@context': 'http://schema.org', '@type': 'WebSite', 'name': 'Zomato', 'url': 'https://www.zomato.com'}",https://www.zomato.com/pune/restaurants/in/abc-farms-mundhwa,,Zomato,
,,,"{'@context': 'http://schema.org', '@type': 'WebSite', 'name': 'Zomato', 'url': 'https://www.zomato.com'}",https://www.zomato.com/pune/bakeries,4.5,Zomato,
,,,"{'@context': 'http://schema.org', '@type': 'WebSite', 'name': 'Zomato', 'url': 'https://www.zomato.com'}",https://www.zomato.com/pune/restaurants/in/hotel-satish-executive,,Zomato,
,,,"{'@context': 'http://schema.org', '@type': 'WebSite', 'name': 'Zomato', 'url': 'https://www.zomato.com'}",https://www.zomato.com/pune/restaurants/in/deccan-rendezvous,4.1,Zomato,
,,,"{'@context': 'http://schema.org', '@type': 'WebSite', 'name': 'Zomato', 'url': 'https://www.zomato.com'}",https://www.zomato.com/pune/restaurants/in/fort-jadhavgadh-hadapsar,3.9,Zomato,
,,,"{'@context': 'http://schema.org', '@type': 'WebSite', 'name': 'Zomato', 'url': 'https://www.zomato.com'}",https://www.zomato.com/pune/restaurants/in/hotel-ambience-wakad,4.0,Zomato,
,,,"{'@context': 'http://schema.org', '@type': 'WebSite', 'name': 'Zomato', 'url': 'https://www.zomato.com'}",https://www.zomato.com/pune/restaurants/in/courtyard-by-marriott-hinjewadi,4.5,Zomato,
,,,"{'@context': 'http://schema.org', '@type': 'WebSite', 'name': 'Zomato', 'url': 'https://www.zomato.com'}",https://www.zomato.com/pune/restaurants/in/inorbit-mall,,Zomato,
,,,"{'@context': 'http://schema.org', '@type': 'WebSite', 'name': 'Zomato', 'url': 'https://www.zomato.com'}",https://www.zomato.com/pune/restaurants/in/four-points-by-sheraton-pune,4.0,Zomato,
,,,"{'@context': 'http://schema.org', '@type': 'WebSite', 'name': 'Zomato', 'url': 'https://www.zomato.com'}",https://www.zomato.com/pune/restaurants/in/all-restaurants-in-destination-centre,4.2,Zomato,
,,,"{'@context': 'http://schema.org', '@type': 'WebSite', 'name': 'Zomato', 'url': 'https://www.zomato.com'}",https://www.zomato.com/pune/restaurants/in/oakwood-premier-koregaon-park,,Zomato,
,,,"{'@context': 'http://schema.org', '@type': 'WebSite', 'name': 'Zomato', 'url': 'https://www.zomato.com'}",https://www.zomato.com/pune/restaurants/in/aditi-mall-baner-road,3.8,Zomato,
,,,"{'@context': 'http://schema.org', '@type': 'WebSite', 'name': 'Zomato', 'url': 'https://www.zomato.com'}",https://www.zomato.com/pune/confectionery,4.5,Zomato,
,,,"{'@context': 'http://schema.org', '@type': 'WebSite', 'name': 'Zomato', 'url': 'https://www.zomato.com'}",https://www.zomato.com/pune/dhaba,4.5,Zomato,
,,,"{'@context': 'http://schema.org', '@type': 'WebSite', 'name': 'Zomato', 'url': 'https://www.zomato.com'}",https://www.zomato.com/pune/restaurants/in/hotel-park-ornate-nagar-road,,Zomato,
,,,"{'@context': 'http://schema.org', '@type': 'WebSite', 'name': 'Zomato', 'url': 'https://www.zomato.com'}",https://www.zomato.com/pune/restaurants/in/blue-diamond-koregaon-park,4.2,Zomato,
,,,"{'@context': 'http://schema.org', '@type': 'WebSite', 'name': 'Zomato', 'url': 'https://www.zomato.com'}",https://www.zomato.com/pune/restaurants/in/le-royale-hinjewadi,,Zomato,
,,,"{'@context': 'http://schema.org', '@type': 'WebSite', 'name': 'Zomato', 'url': 'https://www.zomato.com'}",https://www.zomato.com/pune/lounge,4.5,Zomato,
,,,"{'@context': 'http://schema.org', '@type': 'WebSite', 'name': 'Zomato', 'url': 'https://www.zomato.com'}",https://www.zomato.com/pune/bar,4.5,Zomato,
,,,"{'@context': 'http://schema.org', '@type': 'WebSite', 'name': 'Zomato', 'url': 'https://www.zomato.com'}",https://www.zomato.com/pune/restaurants/in/sacred-world-mall-wanowari,3.7,Zomato,
,,,"{'@context': 'http://schema.org', '@type': 'WebSite', 'name': 'Zomato', 'url': 'https://www.zomato.com'}",https://www.zomato.com/pune/restaurants/beverages,4.5,Zomato,
,,,"{'@context': 'http://schema.org', '@type': 'WebSite', 'name': 'Zomato', 'url': 'https://www.zomato.com'}",https://www.zomato.com/pune/paan-shop,4.5,Zomato,
,,,"{'@context': 'http://schema.org', '@type': 'WebSite', 'name': 'Zomato', 'url': 'https://www.zomato.com'}",https://www.zomato.com/pune/restaurants/sea-food,4.5,Zomato,
